FirmID,output
4634617,368.182984
4333162,128.068462
6318381,196.070575
7525727,479.906265
4970852,224.023718
4634617,377.480267
4333162,109.815322
6318381,199.000000
7525727,475.272518
4970852,223.330133
4634617,373.885756
4333162,nan
6318381,190.228205
7525727,462.594175
4970852,224.418886
4634617,366.104445
4333162,nan
6318381,189.176544
7525727,469.951088
4970852,215.512982
4634617,355.628441
4333162,nan
6318381,191.205159
7525727,466.699050
4970852,223.996267
4634617,359.987188
4333162,nan
6318381,195.950220
7525727,459.150127
4970852,219.748845
4634617,356.630985
4333162,nan
6318381,191.567207
7525727,457.982362
4970852,217.692644
4634617,348.423157
4333162,nan
6318381,184.309346
7525727,465.477827
4970852,221.725078
4634617,337.417584
4333162,nan
6318381,178.170143
7525727,460.531992
4970852,222.179701
4634617,340.863718
4333162,nan
6318381,178.040562
7525727,472.396570
4970852,218.913246
4634617,338.431606
4333162,nan
6318381,170.543802
7525727,462.168125
4970852,212.604390
4634617,351.099511
4333162,nan
6318381,170.397419
7525727,460.658708
4970852,212.752453
4634617,350.613008
4333162,nan
6318381,169.072988
7525727,466.938977
4970852,222.333145
4634617,353.350357
4333162,nan
6318381,180.684656
7525727,477.258716
4970852,227.443231
4634617,349.006952
4333162,nan
6318381,181.504956
7525727,474.567309
4970852,229.376105
4634617,355.158919
4333162,nan
6318381,184.787679
7525727,463.815113
4970852,220.274196
4634617,370.078406
4333162,nan
6318381,187.610652
7525727,453.466200
4970852,220.705241
4634617,369.239943
4333162,nan
6318381,200.197725
7525727,444.001020
4970852,213.762792
4634617,367.655105
4333162,nan
6318381,201.719945
7525727,435.106913
4970852,217.958007
4634617,363.361652
4333162,nan
6318381,200.293593
7525727,433.792601
4970852,216.781552
4634617,377.378750
4333162,nan
6318381,187.838425
7525727,428.468419
4970852,211.135217
4634617,368.676259
4333162,142.967009
6318381,176.279389
7525727,426.299034
4970852,209.034510
4634617,365.117967
4333162,nan
6318381,183.308014
7525727,409.697281
4970852,210.492064
4634617,369.859547
4333162,nan
6318381,170.804424
7525727,422.689949
4970852,223.275264
4634617,362.908794
4333162,nan
6318381,185.087253
7525727,412.479865
4970852,225.572630
4634617,358.487307
4333162,nan
6318381,192.853635
7525727,397.289412
4970852,220.913018
4634617,340.559153
4333162,nan
6318381,nan
7525727,389.103322
4970852,216.787212
4634617,353.562958
4333162,nan
6318381,nan
7525727,400.035483
4970852,212.231118
4634617,338.919050
4333162,nan
6318381,nan
7525727,412.736426
4970852,209.350323
4634617,338.093930
4333162,nan
6318381,nan
7525727,417.071486
4970852,221.597331
4634617,323.706931
4333162,nan
6318381,nan
7525727,404.678503
4970852,231.177186
4634617,317.574243
4333162,nan
6318381,nan
7525727,421.748092
4970852,240.068287
4634617,307.378167
4333162,nan
6318381,nan
7525727,436.454585
4970852,238.950961
4634617,305.504115
4333162,nan
6318381,nan
7525727,437.875902
4970852,247.512867
4634617,309.131887
4333162,nan
6318381,nan
7525727,448.001605
4970852,256.137713
4634617,302.840792
4333162,nan
6318381,nan
7525727,453.570767
4970852,260.173885
4634617,295.408276
4333162,nan
6318381,nan
7525727,440.024151
4970852,267.808570
4634617,281.477063
4333162,nan
6318381,nan
7525727,436.501525
4970852,267.479171
4634617,260.598392
4333162,nan
6318381,nan
7525727,425.492358
4970852,274.698998
4634617,272.343827
4333162,nan
6318381,nan
7525727,431.007848
4970852,267.415406
4634617,253.666788
4333162,nan
6318381,nan
7525727,423.948965
4970852,262.902777
4634617,264.409290
4333162,nan
6318381,nan
7525727,437.858986
4970852,273.558453
4634617,272.209250
4333162,nan
6318381,nan
7525727,428.904433
4970852,274.555008
4634617,279.652315
4333162,nan
6318381,nan
7525727,425.539516
4970852,280.550988
4634617,285.534627
4333162,nan
6318381,nan
7525727,431.767973
4970852,288.024728
4634617,290.105974
4333162,nan
6318381,nan
7525727,424.782033
4970852,288.637945
4634617,291.655998
4333162,nan
6318381,nan
7525727,434.951153
4970852,284.374474
4634617,291.417812
4333162,nan
6318381,nan
7525727,434.431827
4970852,284.913235
4634617,276.992230
4333162,nan
6318381,nan
7525727,420.401651
4970852,289.105565
4634617,281.299627
4333162,nan
